     count ,    time(s) ,      dt(s) ,       type ,    meas_px ,     est_px ,      gt_px ,    RMSE_px ,    meas_py ,     est_py ,      gt_py ,    RMSE_py ,     est_vx ,      gt_vx ,    RMSE_vx ,     est_vy ,      gt_vy ,    RMSE_vy ,        NIS ,               
       346 ,       17.3 ,       0.05 ,      Lidar ,   -19.2983 ,   -19.3822 ,   -19.3694 ,  0.0691229 ,   -9.09865 ,   -9.31151 ,   -9.46265 ,  0.0829473 ,   -4.84189 ,   -4.76378 ,   0.445299 ,   0.922838 ,   0.897083 ,   0.235391 ,    3.06379 ,               
       347 ,      17.35 ,       0.05 ,      Radar ,   -19.7037 ,   -19.6154 ,   -19.6069 ,  0.0690251 ,   -8.79906 ,   -9.23816 ,   -9.41472 ,  0.0833671 ,   -4.78196 ,   -4.73591 ,   0.444666 ,    1.09992 ,    1.01907 ,   0.235092 ,     1.2139 ,               
       348 ,       17.4 ,       0.05 ,      Lidar ,   -19.8731 ,   -19.8665 ,   -19.8431 ,  0.0689375 ,   -8.96417 ,   -9.11833 ,   -9.36071 ,  0.0842525 ,   -4.75263 ,   -4.70487 ,   0.444035 ,    1.34134 ,     1.1408 ,   0.235001 ,    1.48605 ,               
       349 ,      17.45 ,       0.05 ,      Radar ,   -20.3815 ,   -20.1028 ,   -20.0775 ,  0.0688522 ,    -7.6755 ,   -9.01955 ,   -9.30061 ,  0.0854628 ,   -4.70746 ,   -4.67066 ,   0.443405 ,    1.51866 ,    1.26215 ,   0.235065 ,    5.04795 ,               
       350 ,       17.5 ,       0.05 ,      Lidar ,   -20.1607 ,    -20.283 ,   -20.3102 ,  0.0687694 ,   -9.59663 ,   -9.13154 ,   -9.23446 ,  0.0855176 ,   -4.64861 ,   -4.63328 ,   0.442774 ,     1.2587 ,    1.38303 ,   0.234824 ,    14.5193 ,               
       351 ,      17.55 ,       0.05 ,      Radar ,   -20.4587 ,   -20.5222 ,   -20.5409 ,  0.0686789 ,    -9.7448 ,   -9.08666 ,   -9.16227 ,  0.0854911 ,    -4.6427 ,   -4.59271 ,   0.442152 ,    1.31666 ,    1.50334 ,   0.234701 ,    1.55393 ,               
       352 ,       17.6 ,       0.05 ,      Lidar ,   -20.6596 ,   -20.7429 ,   -20.7696 ,  0.0685962 ,   -8.91527 ,   -8.99308 ,   -9.08409 ,  0.0855072 ,   -4.59457 ,   -4.54895 ,   0.441532 ,    1.46394 ,    1.62296 ,   0.234521 ,   0.703811 ,               
       353 ,      17.65 ,       0.05 ,      Radar ,   -21.5568 ,   -20.9847 ,   -20.9959 ,  0.0685018 ,    -8.5005 ,   -8.91201 ,   -8.99994 ,  0.0855142 ,    -4.5687 ,   -4.50202 ,   0.440922 ,    1.58454 ,    1.74179 ,   0.234338 ,    2.41575 ,               
       354 ,       17.7 ,       0.05 ,      Lidar ,   -21.0195 ,   -21.1819 ,   -21.2198 ,  0.0684348 ,   -8.85081 ,   -8.84278 ,   -8.90987 ,  0.0854678 ,   -4.49708 ,   -4.45191 ,   0.440307 ,    1.65805 ,    1.85972 ,   0.234253 ,    1.39627 ,               
       355 ,      17.75 ,       0.05 ,      Radar ,   -21.8628 ,   -21.4151 ,   -21.4412 ,  0.0683526 ,   -8.64129 ,   -8.75455 ,   -8.81393 ,  0.0854057 ,     -4.458 ,   -4.39865 ,     0.4397 ,    1.77457 ,    1.97666 ,   0.234169 ,    1.89435 ,               
       356 ,       17.8 ,       0.05 ,      Lidar ,   -21.5029 ,   -21.6096 ,   -21.6597 ,  0.0683084 ,   -8.87191 ,   -8.72558 ,   -8.71217 ,   0.085289 ,   -4.39798 ,   -4.34224 ,   0.439094 ,    1.75443 ,     2.0925 ,   0.234524 ,     1.9921 ,               
       357 ,      17.85 ,       0.05 ,      Radar ,   -21.9514 ,   -21.8023 ,   -21.8754 ,  0.0683223 ,   -7.41274 ,   -8.58532 ,   -8.60465 ,  0.0851759 ,   -4.25934 ,    -4.2827 ,   0.438482 ,    1.97532 ,    2.20712 ,   0.234516 ,    6.74101 ,               
       358 ,       17.9 ,       0.05 ,      Lidar ,   -21.9793 ,    -22.006 ,   -22.0881 ,  0.0683644 ,   -8.57089 ,   -8.50903 ,   -8.49143 ,  0.0850623 ,   -4.20839 ,   -4.22007 ,   0.437871 ,    2.02988 ,    2.32043 ,   0.234691 ,   0.279699 ,               
       359 ,      17.95 ,       0.05 ,      Radar ,   -22.1914 ,   -22.2153 ,   -22.2975 ,  0.0684067 ,   -7.70392 ,   -8.39956 ,   -8.37258 ,  0.0849559 ,    -4.1748 ,   -4.15437 ,   0.437264 ,    2.12727 ,    2.43232 ,   0.234916 ,    1.89008 ,               
       360 ,         18 ,       0.05 ,      Lidar ,   -22.5838 ,    -22.445 ,   -22.5035 ,  0.0683812 ,   -8.35296 ,    -8.3034 ,   -8.24817 ,   0.084888 ,   -4.15682 ,   -4.08564 ,   0.436674 ,    2.20367 ,     2.5427 ,   0.235268 ,    1.13177 ,               
       361 ,      18.05 ,       0.05 ,      Radar ,   -22.3177 ,   -22.6371 ,   -22.7061 ,  0.0683829 ,   -8.57758 ,   -8.18608 ,   -8.11829 ,  0.0848455 ,   -4.06945 ,   -4.01391 ,    0.43608 ,      2.316 ,    2.65145 ,   0.235603 ,    1.01028 ,               
       362 ,       18.1 ,       0.05 ,      Lidar ,   -22.9861 ,   -22.8707 ,   -22.9049 ,  0.0683123 ,    -7.6724 ,   -7.95655 ,   -7.98301 ,  0.0847399 ,   -4.01128 ,   -3.93923 ,   0.435495 ,    2.61857 ,    2.75848 ,   0.235393 ,    5.74961 ,               
       363 ,      18.15 ,       0.05 ,      Radar ,   -23.2693 ,   -23.0615 ,      -23.1 ,  0.0682483 ,   -8.32031 ,   -7.80935 ,   -7.84243 ,  0.0846412 ,   -3.87746 ,   -3.86163 ,   0.434897 ,    2.77574 ,     2.8637 ,   0.235115 ,    3.89648 ,               
       364 ,       18.2 ,       0.05 ,      Lidar ,   -23.4777 ,   -23.2888 ,   -23.2911 ,  0.0681548 ,   -7.56583 ,   -7.63576 ,   -7.69663 ,  0.0845852 ,   -3.83246 ,   -3.78118 ,    0.43431 ,    2.94216 ,      2.967 ,   0.234796 ,    2.20223 ,               
       365 ,      18.25 ,       0.05 ,      Radar ,    -23.473 ,   -23.4871 ,   -23.4781 ,  0.0680633 ,   -7.02103 ,   -7.49451 ,   -7.54572 ,   0.084512 ,    -3.8001 ,   -3.69792 ,   0.433749 ,    3.00993 ,    3.06828 ,   0.234495 ,    1.49307 ,               
       366 ,       18.3 ,       0.05 ,      Lidar ,   -23.5408 ,   -23.6547 ,   -23.6609 ,  0.0679713 ,   -7.36069 ,   -7.34904 ,    -7.3898 ,  0.0844236 ,   -3.69669 ,   -3.61191 ,    0.43318 ,    3.09264 ,    3.16746 ,   0.234208 ,   0.689135 ,               
       367 ,      18.35 ,       0.05 ,      Radar ,   -24.0505 ,   -23.8445 ,   -23.8393 ,  0.0678794 ,   -6.56968 ,   -7.18954 ,   -7.22897 ,  0.0843338 ,   -3.63379 ,   -3.52321 ,   0.432629 ,    3.18712 ,    3.26445 ,   0.233924 ,   0.867154 ,               
       368 ,       18.4 ,       0.05 ,      Lidar ,   -23.9384 ,   -24.0077 ,   -24.0132 ,   0.067788 ,   -7.26171 ,   -7.09083 ,   -7.06336 ,  0.0842316 ,   -3.55603 ,   -3.43189 ,   0.432091 ,    3.16965 ,    3.35916 ,   0.233815 ,    2.03943 ,               
       369 ,      18.45 ,       0.05 ,      Radar ,   -24.3577 ,   -24.1753 ,   -24.1825 ,  0.0676973 ,   -5.94086 ,   -6.90985 ,   -6.89307 ,  0.0841222 ,   -3.43856 ,   -3.33801 ,   0.431539 ,    3.30132 ,    3.45149 ,   0.233629 ,    2.04115 ,               
       370 ,       18.5 ,       0.05 ,      Lidar ,   -24.2574 ,   -24.3357 ,    -24.347 ,  0.0676085 ,    -6.4352 ,   -6.66326 ,   -6.71823 ,  0.0840573 ,   -3.30151 ,   -3.24166 ,   0.430968 ,    3.52292 ,    3.54138 ,   0.233316 ,    3.42099 ,               
       371 ,      18.55 ,       0.05 ,      Radar ,    -24.788 ,   -24.5028 ,   -24.5066 ,  0.0675179 ,   -7.18367 ,    -6.4874 ,   -6.53896 ,  0.0839867 ,   -3.18436 ,   -3.14289 ,   0.430393 ,    3.62203 ,    3.62873 ,   0.233003 ,    3.55632 ,               
       372 ,       18.6 ,       0.05 ,      Lidar ,   -24.3008 ,   -24.6045 ,   -24.6612 ,  0.0674912 ,   -6.43799 ,   -6.34236 ,   -6.35538 ,  0.0838768 ,   -3.02528 ,    -3.0418 ,   0.429817 ,    3.64017 ,    3.71347 ,   0.232721 ,    5.40965 ,               
       373 ,      18.65 ,       0.05 ,      Radar ,   -24.6108 ,   -24.7449 ,   -24.8107 ,   0.067487 ,   -6.00878 ,   -6.15287 ,   -6.16764 ,  0.0837681 ,    -2.9043 ,   -2.93846 ,   0.429246 ,    3.73301 ,    3.79553 ,   0.232432 ,   0.352402 ,               
       374 ,       18.7 ,       0.05 ,      Lidar ,    -25.146 ,   -24.9263 ,    -24.955 ,  0.0674133 ,   -5.91902 ,   -5.95062 ,   -5.97587 ,  0.0836665 ,   -2.84667 ,   -2.83295 ,   0.428673 ,    3.83928 ,    3.87484 ,   0.232129 ,    2.58947 ,               
       375 ,      18.75 ,       0.05 ,      Radar ,   -24.8975 ,   -25.0565 ,    -25.094 ,  0.0673515 ,   -5.02285 ,   -5.74638 ,    -5.7802 ,  0.0835733 ,   -2.72446 ,   -2.72537 ,   0.428103 ,    3.93097 ,    3.95132 ,   0.231823 ,    1.88565 ,               
       376 ,       18.8 ,       0.05 ,      Lidar ,   -25.1941 ,   -25.1898 ,   -25.2276 ,  0.0672901 ,   -5.64372 ,   -5.57213 ,   -5.58079 ,  0.0834636 ,   -2.62511 ,   -2.61581 ,   0.427535 ,    3.96749 ,    4.02492 ,   0.231534 ,   0.305277 ,               
       377 ,      18.85 ,       0.05 ,      Radar ,   -25.5328 ,   -25.3415 ,   -25.3556 ,   0.067205 ,    -5.4399 ,   -5.38603 ,   -5.37777 ,  0.0833542 ,   -2.58786 ,   -2.50435 ,   0.426991 ,    4.00461 ,    4.09557 ,   0.231275 ,    1.24593 ,               
       378 ,       18.9 ,       0.05 ,      Lidar ,   -25.5713 ,    -25.484 ,   -25.4779 ,   0.067117 ,   -5.10241 ,   -5.16325 ,    -5.1713 ,  0.0832452 ,   -2.49529 ,   -2.39109 ,   0.426461 ,    4.10538 ,    4.16322 ,   0.230989 ,   0.621017 ,               
       379 ,      18.95 ,       0.05 ,      Radar ,   -25.0178 ,   -25.6149 ,   -25.5946 ,  0.0670367 ,   -6.55904 ,   -4.98432 ,   -4.96152 ,  0.0831438 ,   -2.45543 ,   -2.27613 ,   0.425999 ,    4.10962 ,    4.22781 ,   0.230764 ,     6.4872 ,               
       380 ,         19 ,       0.05 ,      Lidar ,   -25.6952 ,   -25.7285 ,   -25.7055 ,  0.0669589 ,   -4.89995 ,   -4.80797 ,    -4.7486 ,  0.0830904 ,   -2.35526 ,   -2.15956 ,   0.425557 ,    4.12194 ,     4.2893 ,   0.230621 ,   0.559781 ,               
       381 ,      19.05 ,       0.05 ,      Radar ,   -25.8162 ,   -25.8494 ,   -25.8105 ,  0.0669008 ,   -4.40681 ,   -4.60248 ,   -4.53268 ,  0.0830583 ,   -2.27967 ,   -2.04149 ,   0.425175 ,       4.17 ,    4.34764 ,   0.230498 ,   0.303479 ,               
       382 ,       19.1 ,       0.05 ,      Lidar ,   -25.9516 ,   -25.9597 ,   -25.9096 ,  0.0668623 ,   -4.26659 ,   -4.36157 ,   -4.31392 ,  0.0829856 ,   -2.16415 ,   -1.92202 ,   0.424799 ,    4.27125 ,    4.40279 ,   0.230295 ,   0.535703 ,               
       383 ,      19.15 ,       0.05 ,      Radar ,   -26.8953 ,   -26.0705 ,   -26.0027 ,  0.0668648 ,   -4.43966 ,   -4.14185 ,    -4.0925 ,  0.0829157 ,   -2.00158 ,   -1.80125 ,   0.424369 ,    4.35081 ,    4.45471 ,   0.230056 ,    10.8764 ,               
       384 ,       19.2 ,       0.05 ,      Lidar ,   -26.1198 ,   -26.1607 ,   -26.0897 ,  0.0668758 ,   -3.67723 ,   -3.86276 ,   -3.86856 ,  0.0828085 ,   -1.85019 ,   -1.67928 ,   0.423907 ,    4.49106 ,    4.50337 ,   0.229758 ,    2.11455 ,               
       385 ,      19.25 ,       0.05 ,      Radar ,   -26.5652 ,   -26.2359 ,   -26.1706 ,  0.0668719 ,   -3.85723 ,   -3.62726 ,   -3.64227 ,  0.0827047 ,    -1.6415 ,   -1.55623 ,    0.42338 ,    4.56896 ,    4.54875 ,   0.229462 ,     3.6374 ,               
       386 ,       19.3 ,       0.05 ,      Lidar ,   -25.9974 ,   -26.2663 ,   -26.2453 ,  0.0667939 ,   -3.24722 ,   -3.36113 ,   -3.41381 ,  0.0826411 ,   -1.41845 ,    -1.4322 ,   0.422833 ,    4.65966 ,    4.59081 ,   0.229192 ,    4.55483 ,               
       387 ,      19.35 ,       0.05 ,      Radar ,   -26.2976 ,    -26.316 ,   -26.3138 ,  0.0667079 ,   -3.01078 ,    -3.1176 ,   -3.18332 ,   0.082602 ,   -1.21315 ,   -1.30729 ,   0.422315 ,    4.71841 ,    4.62954 ,   0.228941 ,   0.727321 ,               
       388 ,       19.4 ,       0.05 ,      Lidar ,   -26.1741 ,   -26.3425 ,    -26.376 ,  0.0666437 ,   -2.87885 ,   -2.88025 ,   -2.95098 ,  0.0825736 ,   -1.02059 ,   -1.18162 ,   0.421851 ,    4.74787 ,    4.66493 ,   0.228686 ,    1.48897 ,               
       389 ,      19.45 ,       0.05 ,      Radar ,   -26.4681 ,   -26.3994 ,   -26.4319 ,  0.0665786 ,   -3.44967 ,   -2.65246 ,   -2.71697 ,  0.0825324 ,  -0.899447 ,   -1.05529 ,   0.421383 ,    4.76353 ,    4.69696 ,   0.228417 ,    1.30268 ,               
       390 ,       19.5 ,       0.05 ,      Lidar ,    -26.674 ,   -26.4769 ,   -26.4815 ,  0.0664938 ,   -2.73852 ,   -2.49097 ,   -2.48143 ,  0.0824282 ,  -0.842394 ,  -0.928411 ,   0.420867 ,    4.68835 ,    4.72562 ,   0.228133 ,    5.61831 ,               
       391 ,      19.55 ,       0.05 ,      Radar ,    -26.657 ,   -26.5308 ,   -26.5247 ,  0.0664096 ,   -1.72382 ,    -2.2555 ,   -2.24456 ,  0.0823248 ,  -0.749806 ,   -0.80109 ,   0.420338 ,    4.71103 ,    4.75091 ,    0.22785 ,   0.880002 ,               
       392 ,       19.6 ,       0.05 ,      Lidar ,   -26.6691 ,   -26.5811 ,   -26.5616 ,  0.0663323 ,   -2.17333 ,   -2.05589 ,    -2.0065 ,  0.0822578 ,  -0.651735 ,  -0.673434 ,   0.419804 ,    4.68323 ,    4.77284 ,   0.227605 ,    1.21106 ,               
       393 ,      19.65 ,       0.05 ,      Radar ,   -26.3248 ,   -26.6111 ,   -26.5921 ,  0.0662551 ,   -1.32261 ,   -1.81919 ,   -1.76744 ,  0.0821947 ,  -0.547352 ,  -0.545553 ,   0.419271 ,    4.69903 ,    4.79141 ,   0.227364 ,    1.96863 ,               
       394 ,       19.7 ,       0.05 ,      Lidar ,   -26.4671 ,   -26.6092 ,   -26.6161 ,  0.0661721 ,   -1.53207 ,   -1.57159 ,   -1.52753 ,  0.0821205 ,  -0.371303 ,  -0.417552 ,   0.418746 ,    4.72427 ,    4.80664 ,   0.227114 ,    1.15262 ,               
       395 ,      19.75 ,       0.05 ,      Radar ,   -26.4998 ,   -26.6071 ,   -26.6338 ,  0.0661021 ,   -2.19526 ,   -1.33969 ,   -1.28695 ,  0.0820596 ,  -0.181457 ,  -0.289538 ,   0.418252 ,    4.72588 ,    4.81852 ,   0.226874 ,    1.74319 ,               
       396 ,       19.8 ,       0.05 ,      Lidar ,   -26.5998 ,   -26.6107 ,   -26.6451 ,  0.0660413 ,   -1.14277 ,   -1.11259 ,   -1.04586 ,  0.0820246 , -0.0430451 ,  -0.161616 ,   0.417768 ,    4.71609 ,     4.8271 ,   0.226657 ,  0.0590802 ,               
       397 ,      19.85 ,       0.05 ,      Radar ,   -27.2008 ,   -26.6391 ,     -26.65 ,  0.0659606 ,   -1.67679 ,  -0.886478 ,  -0.804425 ,  0.0820246 ,  0.0371482 , -0.0338883 ,   0.417258 ,    4.70903 ,    4.83238 ,   0.226456 ,    5.11139 ,               
       398 ,       19.9 ,       0.05 ,      Lidar ,   -26.7355 ,   -26.6495 ,   -26.6485 ,  0.0658779 ,   -0.59539 ,  -0.638345 ,  -0.562811 ,   0.082009 ,   0.150897 ,  0.0935412 ,   0.416744 ,    4.72761 ,    4.83439 ,   0.226236 ,   0.494791 ,               
       399 ,      19.95 ,       0.05 ,      Radar ,   -26.9891 ,   -26.6374 ,   -26.6406 ,  0.0657957 ,  0.0351487 ,   -0.39645 ,  -0.321181 ,  0.0819928 ,   0.321593 ,   0.220572 ,   0.416254 ,    4.73042 ,    4.83317 ,   0.226011 ,    2.26539 ,               
       400 ,         20 ,       0.05 ,      Lidar ,   -26.4553 ,   -26.5923 ,   -26.6264 ,  0.0657357 ,  0.0602653 ,   -0.10873 , -0.0796947 ,  0.0819034 ,   0.515797 ,   0.347104 ,    0.41582 ,    4.78186 ,    4.82874 ,   0.225741 ,    2.64585 ,               
       401 ,      20.05 ,       0.05 ,      Radar ,   -26.9537 ,   -26.5726 ,   -26.6059 ,   0.065675 ,   0.136943 ,   0.130297 ,   0.161489 ,  0.0818162 ,   0.655687 ,   0.473041 ,   0.415402 ,    4.76829 ,    4.82116 ,   0.225476 ,    2.75919 ,               
       402 ,       20.1 ,       0.05 ,      Lidar ,   -26.6201 ,    -26.549 ,   -26.5792 ,  0.0656107 ,    0.57588 ,   0.416545 ,   0.402213 ,  0.0817178 ,   0.790098 ,   0.598287 ,   0.414996 ,    4.81691 ,    4.81045 ,   0.225196 ,     1.7368 ,               
       403 ,      20.15 ,       0.05 ,      Radar ,   -26.8241 ,   -26.5354 ,   -26.5462 ,  0.0655316 ,   0.381506 ,   0.653448 ,   0.642323 ,  0.0816185 ,    0.84766 ,   0.722748 ,   0.414529 ,    4.79748 ,    4.79667 ,   0.224917 ,    1.75347 ,               
       404 ,       20.2 ,       0.05 ,      Lidar ,   -26.7293 ,   -26.5267 ,   -26.5069 ,  0.0654581 ,    1.06082 ,   0.931483 ,   0.881666 ,  0.0815552 ,   0.930612 ,   0.846334 ,   0.414038 ,    4.83671 ,    4.77986 ,   0.224657 ,    3.12383 ,               
       405 ,      20.25 ,       0.05 ,      Radar ,   -25.9562 ,   -26.4882 ,   -26.4616 ,  0.0653907 ,    2.60409 ,    1.18629 ,    1.12009 ,  0.0815209 ,   0.985369 ,   0.968955 ,   0.413529 ,    4.83515 ,    4.76007 ,   0.224411 ,    7.42362 ,               
       406 ,       20.3 ,       0.05 ,      Lidar ,   -26.3986 ,     -26.43 ,   -26.4101 ,  0.0653178 ,    1.42212 ,    1.42614 ,    1.35745 ,  0.0814919 ,    1.11937 ,    1.09053 ,   0.413023 ,    4.80471 ,    4.73737 ,    0.22416 ,  0.0528339 ,               
       407 ,      20.35 ,       0.05 ,      Radar ,   -26.5072 ,   -26.3914 ,   -26.3526 ,   0.065266 ,  -0.563928 ,    1.64586 ,    1.59361 ,  0.0814331 ,    1.17429 ,    1.21096 ,    0.41252 ,    4.75569 ,    4.71181 ,   0.223896 ,    8.48869 ,               
       408 ,       20.4 ,       0.05 ,      Lidar ,   -26.3594 ,   -26.3346 ,   -26.2891 ,  0.0652251 ,    1.79315 ,    1.86175 ,    1.82841 ,  0.0813502 ,    1.28148 ,    1.33018 ,   0.412023 ,    4.69717 ,    4.68345 ,   0.223623 ,   0.305975 ,               
       409 ,      20.45 ,       0.05 ,      Radar ,   -26.3475 ,   -26.2678 ,   -26.2197 ,  0.0651889 ,    1.82827 ,    2.09304 ,    2.06173 ,  0.0812656 ,    1.40277 ,    1.44811 ,   0.411526 ,    4.65954 ,    4.65235 ,    0.22335 ,   0.172652 ,               
       410 ,       20.5 ,       0.05 ,      Lidar ,   -26.2502 ,   -26.2039 ,   -26.1444 ,  0.0651758 ,    2.18481 ,    2.29201 ,    2.29342 ,  0.0811667 ,    1.49976 ,    1.56467 ,   0.411038 ,    4.57977 ,    4.61859 ,   0.223087 ,   0.781741 ,               
       411 ,      20.55 ,       0.05 ,      Radar ,    -26.069 ,   -26.1413 ,   -26.0633 ,  0.0652101 ,    2.27896 ,    2.51975 ,    2.52336 ,  0.0810683 ,    1.55186 ,    1.67979 ,   0.410587 ,    4.55035 ,    4.58223 ,   0.222821 ,    1.04524 ,               
       412 ,       20.6 ,       0.05 ,      Lidar ,   -26.0641 ,   -26.0613 ,   -25.9765 ,  0.0652647 ,    2.80701 ,    2.76046 ,    2.75141 ,  0.0809714 ,    1.66165 ,    1.79339 ,   0.410141 ,    4.53204 ,    4.54334 ,   0.222552 ,   0.126146 ,               
       413 ,      20.65 ,       0.05 ,      Radar ,   -26.3234 ,   -25.9683 ,   -25.8841 ,  0.0653173 ,    3.02388 ,    2.98405 ,    2.97746 ,  0.0808742 ,    1.82618 ,    1.90543 ,   0.409664 ,    4.47803 ,      4.502 ,   0.222286 ,    2.62762 ,               
       414 ,       20.7 ,       0.05 ,      Lidar ,   -25.8345 ,    -25.867 ,   -25.7861 ,  0.0653596 ,    3.42005 ,    3.25695 ,    3.20139 ,  0.0808227 ,    1.95579 ,    2.01582 ,    0.40918 ,     4.4995 ,    4.45828 ,   0.222028 ,    1.60427 ,               
       415 ,      20.75 ,       0.05 ,      Radar ,   -26.1824 ,   -25.7846 ,   -25.6826 ,  0.0654723 ,    3.73376 ,     3.4857 ,    3.42306 ,  0.0807839 ,    2.03944 ,    2.12452 ,    0.40871 ,    4.46339 ,    4.41227 ,   0.221775 ,    2.18156 ,               
       416 ,       20.8 ,       0.05 ,      Lidar ,   -25.6666 ,   -25.6783 ,   -25.5737 ,  0.0655938 ,    3.63509 ,    3.69054 ,    3.64239 ,  0.0807214 ,    2.14926 ,    2.23146 ,   0.408239 ,    4.38698 ,    4.36404 ,   0.221511 ,   0.185372 ,               
       417 ,      20.85 ,       0.05 ,      Radar ,   -25.5773 ,   -25.5622 ,   -25.4596 ,  0.0657072 ,    3.13316 ,    3.89922 ,    3.85924 ,  0.0806485 ,    2.27174 ,     2.3366 ,   0.407763 ,    4.31535 ,    4.31367 ,   0.221246 ,    1.09646 ,               
       418 ,       20.9 ,       0.05 ,      Lidar ,   -25.7492 ,   -25.4938 ,   -25.3402 ,  0.0660562 ,    3.99968 ,    4.08474 ,    4.07353 ,  0.0805541 ,    2.30272 ,    2.43989 ,   0.407331 ,    4.23377 ,    4.26125 ,   0.220986 ,    3.87324 ,               
       419 ,      20.95 ,       0.05 ,      Radar ,   -25.3516 ,   -25.3709 ,   -25.2157 ,  0.0664105 ,    3.75691 ,    4.28815 ,    4.28514 ,  0.0804583 ,    2.41647 ,    2.54127 ,   0.406891 ,    4.16332 ,    4.20686 ,   0.220733 ,   0.593891 ,               
       420 ,         21 ,       0.05 ,      Lidar ,   -25.0214 ,   -25.2123 ,   -25.0863 ,  0.0666155 ,    4.52803 ,     4.5042 ,    4.49399 ,  0.0803642 ,    2.57313 ,    2.64071 ,   0.406421 ,    4.10212 ,    4.15058 ,   0.220484 ,    1.95423 ,               
       421 ,      21.05 ,       0.05 ,      Radar ,   -24.2719 ,   -25.0617 ,   -24.9518 ,  0.0667511 ,    4.30917 ,    4.70088 ,    4.69998 ,  0.0802689 ,    2.67218 ,    2.73817 ,   0.405952 ,    4.02755 ,    4.09251 ,   0.220245 ,    8.92021 ,               
       422 ,       21.1 ,       0.05 ,      Lidar ,   -25.0363 ,   -24.9429 ,   -24.8126 ,  0.0669726 ,    4.88499 ,    4.89596 ,    4.90303 ,  0.0801747 ,    2.74473 ,    2.83361 ,   0.405495 ,    3.96061 ,    4.03273 ,   0.220012 ,   0.466588 ,               
       423 ,      21.15 ,       0.05 ,      Radar ,   -24.3609 ,   -24.7873 ,   -24.6686 ,  0.0671412 ,    4.95947 ,    5.08748 ,    5.10304 ,  0.0800837 ,    2.85998 ,    2.92701 ,    0.40503 ,    3.87977 ,    3.97132 ,   0.219798 ,     2.2832 ,               
       424 ,       21.2 ,       0.05 ,      Lidar ,   -24.5041 ,   -24.6201 ,   -24.5201 ,  0.0672374 ,    5.35293 ,    5.29828 ,    5.29995 ,  0.0799895 ,    2.98916 ,    3.01833 ,   0.404555 ,     3.8267 ,    3.90839 ,   0.219575 ,   0.888456 ,               
       425 ,      21.25 ,       0.05 ,      Radar ,   -24.4379 ,   -24.4492 ,    -24.367 ,  0.0672763 ,    5.24592 ,    5.47778 ,    5.49367 ,  0.0798992 ,    3.14587 ,    3.10754 ,   0.404085 ,    3.71449 ,    3.84401 ,   0.219407 ,   0.958183 ,               
       426 ,       21.3 ,       0.05 ,      Lidar ,   -24.1159 ,   -24.2633 ,   -24.2095 ,  0.0672478 ,    5.61152 ,    5.65106 ,    5.68414 ,  0.0798217 ,    3.27871 ,    3.19464 ,   0.403632 ,     3.6032 ,    3.77827 ,   0.219313 ,    1.22555 ,               
       427 ,      21.35 ,       0.05 ,      Radar ,   -24.5638 ,   -24.0973 ,   -24.0477 ,  0.0672119 ,    4.75836 ,     5.8149 ,     5.8713 ,   0.079775 ,    3.39489 ,    3.27959 ,   0.403198 ,    3.48374 ,    3.71127 ,   0.219333 ,    3.29669 ,               
       428 ,       21.4 ,       0.05 ,      Lidar ,   -23.9153 ,   -23.9242 ,   -23.8818 ,  0.0671649 ,    5.94377 ,    5.97644 ,    6.05508 ,  0.0797723 ,     3.4887 ,    3.36239 ,   0.402774 ,    3.37352 ,    3.64309 ,   0.219463 ,  0.0663337 ,               
       429 ,      21.45 ,       0.05 ,      Radar ,   -23.5491 ,   -23.7783 ,   -23.7117 ,  0.0671635 ,    6.44495 ,    6.16069 ,    6.23542 ,   0.079761 ,    3.46047 ,    3.44302 ,   0.402307 ,    3.35137 ,    3.57383 ,    0.21947 ,    4.61835 ,               
       430 ,       21.5 ,       0.05 ,      Lidar ,   -23.6471 ,   -23.6104 ,   -23.5377 ,   0.067177 ,    6.29102 ,    6.31703 ,    6.41227 ,  0.0798004 ,     3.5321 ,    3.52148 ,    0.40184 ,    3.25292 ,    3.50357 ,   0.219548 ,   0.111819 ,               
       431 ,      21.55 ,       0.05 ,      Radar ,   -23.7544 ,   -23.4606 ,   -23.3598 ,  0.0672743 ,    6.53746 ,     6.4906 ,    6.58559 ,  0.0798389 ,     3.5376 ,    3.59775 ,   0.401385 ,    3.21265 ,     3.4324 ,   0.219548 ,    1.97024 ,               
       432 ,       21.6 ,       0.05 ,      Lidar ,   -23.0099 ,   -23.2378 ,   -23.1781 ,  0.0672579 ,    6.86182 ,     6.7046 ,    6.75533 ,  0.0797839 ,    3.67709 ,    3.67185 ,   0.400921 ,    3.20027 ,    3.36041 ,    0.21943 ,    4.24374 ,               
       433 ,      21.65 ,       0.05 ,      Radar ,   -22.7862 ,   -23.0429 ,   -22.9928 ,  0.0672234 ,    5.74143 ,    6.84707 ,    6.92146 ,  0.0797719 ,    3.74366 ,    3.74376 ,   0.400459 ,    3.09408 ,    3.28768 ,   0.219374 ,    5.59079 ,               
       434 ,       21.7 ,       0.05 ,      Lidar ,   -22.6991 ,   -22.8296 ,    -22.804 ,  0.0671573 ,      7.063 ,    7.01734 ,    7.08393 ,  0.0797441 ,    3.84956 ,     3.8135 ,   0.400002 ,    3.02556 ,    3.21431 ,   0.219308 ,     1.0275 ,               
